Rank, PeakDisp(cm), PeakAcc(g), MeanEffMass, Slope(g/cm), CumulativeKEnergy(cm^2/s)
1.000000000000000000e+00,2.862252857415661499e-03,6.987288067643800116e-02,3.456474504552790039e-01,-3.428285112867340167e+00,3.500473703630425232e-02
2.000000000000000000e+00,1.517711738567880699e-02,1.550821288010397203e-01,4.094554646828672539e-01,3.077456195300410702e+00,5.981516568215426988e-01
3.000000000000000000e+00,1.170889123087305028e-01,1.873530327754741320e-01,7.111437466584947797e-01,7.256034727055520328e-01,1.093636655721401318e+01
4.000000000000000000e+00,9.931604801825660855e-01,3.362862636383855963e-01,7.982771632327049227e-01,1.858190936409828131e-01,2.435131089907656303e+02
5.000000000000000000e+00,7.844613254942582437e+00,1.054767939989254444e+00,8.206556813624180657e-01,1.246075639628384385e-01,4.987510276801515829e+03
6.000000000000000000e+00,6.569151157418506415e+00,7.349573432126796924e-01,8.230467983444077484e-01,9.238431979262397287e-02,4.492512393380624417e+03
7.000000000000000000e+00,3.444390085356990205e+00,2.802134170554367865e-01,8.752068588236618929e-01,6.804029310455546320e-02,1.237971225312027741e+02
8.000000000000000000e+00,2.382550334651215351e+00,1.561833843493985186e-01,8.727188231492656323e-01,4.648764582161964143e-02,2.960633451366212654e+01
9.000000000000000000e+00,1.588673660666867660e+00,3.227569541157387228e-02,5.147469067686333277e-01,7.941835615361226772e-03,8.782098359031371260e+00
1.000000000000000000e+01,3.015035122279148827e-01,5.613084727932997689e-03,7.911765125560112910e-01,5.917156487530336219e-03,2.164267290908851726e-01
