BCRepDisp(cm), BCRepAcc(g)
-1.096777300667048394e+01,-1.096025262716911808e+00
-1.095657064273249048e+01,-1.101041721140100016e+00
-1.088852433408297493e+01,-1.093637157506462287e+00
-1.076634732963192675e+01,-1.075216714513950400e+00
-1.059012514692158646e+01,-1.047013036547498110e+00
-1.035625530774730940e+01,-1.010043032017185816e+00
-1.005716726903487945e+01,-9.651580030643756025e-01
-9.682671763902966688e+00,-9.116765307749590264e-01
-9.565478503548643374e+00,-1.118594004069255243e+00
-9.535619692208092246e+00,-1.140427007579978502e+00
-9.433432774348490923e+00,-1.136010529204367847e+00
-9.266343164616381856e+00,-1.104493438538561412e+00
-9.039935013342947911e+00,-1.050342793185510049e+00
-8.757525761303613265e+00,-9.793776664009625765e-01
-8.420655224382313619e+00,-8.960197844589783411e-01
-8.029797679874880245e+00,-8.058010851857388968e-01
-7.965997913044231993e+00,-1.255059937967525796e+00
-7.942028114153756313e+00,-1.277253857840725537e+00
-7.850532191779675095e+00,-1.290174657300905192e+00
-7.689510143343129656e+00,-1.295166501473512977e+00
-7.458336166433658931e+00,-1.293900863667566625e+00
-7.157847308586601898e+00,-1.286684951114317244e+00
-6.790477989520829816e+00,-1.270690554217617674e+00
-6.360416583205117824e+00,-1.242445940723670095e+00
-5.873844149087862121e+00,-1.199389637914693107e+00
-5.339352543429654041e+00,-1.138235150681408792e+00
-4.768725766133832700e+00,-1.054893022333799557e+00
-4.178938457977078080e+00,-9.441118917599842231e-01
-3.597612754152763159e+00,-7.950047510210106472e-01
-3.256537907284632549e+00,-1.106933427441579187e+00
-3.243433811900473085e+00,-1.119145505810871022e+00
-3.174005231319557030e+00,-1.106318060575829376e+00
-3.056533796746841336e+00,-1.068387231264432025e+00
-2.902536251711481441e+00,-1.006730162697661690e+00
-2.728081564421358074e+00,-9.223531892061793691e-01
-2.557238989370725690e+00,-8.123796740435793584e-01
-2.431592268126805401e+00,-6.643483416646275286e-01
-1.107583956883256171e+00,-3.403407943591615359e-01
-1.089302006026144243e+00,-3.246416647846974701e-01
-1.065637182462118693e+00,-2.266373542075428571e-01
-1.065409166799176299e+00,-2.259629886348939465e-01
-1.053459595284507389e+00,-2.213347321675472323e-01
-1.030518066108147446e+00,-2.133539929206508257e-01
-9.976383336397374180e-01,-2.025863886036684824e-01
-9.560382619217260292e-01,-1.891841422620731961e-01
-9.069829546043941537e-01,-1.732734326661619084e-01
-8.517677504688582202e-01,-1.551335709120356676e-01
-8.114700540976556020e-01,-1.813084008377195411e-01
-8.028599808170080454e-01,-1.768847741445594146e-01
-7.828553569499938636e-01,-1.687850367681151820e-01
-7.788886074762633172e-01,-2.302035525959930662e-01
-7.730112442632162129e-01,-2.286081342149578755e-01
-7.614712354903099278e-01,-2.239653106184092413e-01
-7.441816981514578488e-01,-2.160835012220766460e-01
-7.208412500735019712e-01,-2.047897822771574949e-01
-6.912676444424917799e-01,-1.905081553894995561e-01
-6.577653355392311108e-01,-2.496475895619618135e-01
-3.984799019600974157e-01,-1.007665427370987854e-01
-3.930729574230030221e-01,-9.936625300135101813e-02
-3.798786773742062750e-01,-9.470888043488516483e-02
-3.652348466741554556e-01,-9.181797124154061907e-02
-3.631841053875034531e-01,-9.379820401021762843e-02
-3.581535026777038500e-01,-9.459335307294422512e-02
-3.502935947558019625e-01,-9.428552662283505581e-02
-3.398953355251718156e-01,-9.298292357583097523e-02
-3.273324790930022266e-01,-9.085501028021039649e-02
-3.130075095070476432e-01,-8.804039939542468440e-02
-2.972976629454439079e-01,-8.455809499894122172e-02
-2.805160501854293553e-01,-8.041499169848645434e-02
-2.714567142596092664e-01,-3.642598884013156096e-02
-2.631017421698988445e-01,-4.271643860881643717e-02
-2.590778835078422215e-01,-4.674095874585429411e-02
-2.570873289586745880e-01,-4.886593887212974108e-02
-2.554023240761036373e-01,-4.912818524575978535e-02
-2.528619550575875174e-01,-4.722453114577421229e-02
-2.489151269822908741e-01,-4.297649931967083281e-02
-2.438893862333461893e-01,-3.550323473799954499e-02
-2.359312292521743848e-01,-4.394085590336244129e-02
-2.350623330025781998e-01,-5.460932518009466857e-02
-2.348911623300664331e-01,-5.478159955458846569e-02
-2.326603762611806625e-01,-5.372765736814411053e-02
-2.286128560505711338e-01,-2.732753917007015726e-02
-2.252292018777175275e-01,-2.830241542916897557e-02
-2.223043651009143085e-01,-2.810109750319274985e-02
-2.195357564629290825e-01,-2.653501417069287216e-02
-2.167489889591877050e-01,-2.349588874085151158e-02
-2.138718215805474610e-01,-1.929603207382193930e-02
-2.108882091636386236e-01,-1.435009652482474238e-02
-2.077827555284874894e-01,-8.854413643856345190e-03
-2.044929477262654449e-01,-3.386036969278596875e-03
-2.008922155875841054e-01,9.063002693833303869e-04
-1.968380593596951167e-01,2.817677353679153007e-03
-1.922893629508077573e-01,1.316250603013009030e-03
-1.874219928083235009e-01,-3.644917010780908406e-03
-1.826352023930885582e-01,-1.058748610094329898e-02
-1.783890179859696778e-01,-1.783343733306957599e-02
-1.749709336360654732e-01,-2.437259720976744926e-02
-1.723597274503370358e-01,-2.956675500085836905e-02
-1.702300225820192470e-01,-3.316303749287593389e-02
-1.680626336806386456e-01,-3.514108110587226691e-02
-1.653018675425426964e-01,-3.534796418729524436e-02
-1.615035879017666376e-01,-3.379636688322945615e-02
-1.564608960587344499e-01,-3.089066277891067483e-02
-1.502652629170903031e-01,-2.700484646887782447e-02
-1.443620161932488710e-01,-3.124995125032235810e-02
-1.414437283039448046e-01,-4.129611247373538019e-02
-1.401511407155730526e-01,-4.188223171243860010e-02
-1.372750537543002691e-01,-4.165656421157635375e-02
-1.327570596602493103e-01,-4.064267526404877207e-02
-1.266291432610432977e-01,-3.883570784606435455e-02
-1.225040961972075765e-01,-1.384515031951492198e-02
-1.212783288619793537e-01,-1.454678173123156136e-02
-1.204267037932365558e-01,-1.429994423281578421e-02
-1.200342885371094848e-01,-2.068665360676324658e-03
-1.192924883173313994e-01,-7.424123338162495755e-03
-1.177857936138543421e-01,-9.738078790740303803e-03
-1.163802312944768463e-01,-1.163989348635371263e-02
-1.150679193319492227e-01,-1.302618425678750066e-02
-1.138063524230931572e-01,-1.380860463027680160e-02
-1.125388314334209716e-01,-1.398066233240169084e-02
-1.112130754950810541e-01,-1.370335924414771422e-02
-1.097946308651561176e-01,-1.314325318731605387e-02
