BCRepDisp(cm), BCRepAcc(g)
-1.099009607409564815e+01,-1.141515208204891163e+00
-1.097577027347320744e+01,-1.120473537413737786e+00
-1.088830113187309045e+01,-1.089565748736987860e+00
-1.072412062578828973e+01,-1.054989038020750947e+00
-1.047912556784166505e+01,-1.019841223706795308e+00
-1.014894376263019282e+01,-9.827851476680382614e-01
-9.824045812060614224e+00,-1.146121265967958713e+00
-9.812044214829450439e+00,-1.133046297310056794e+00
-9.710706607814870495e+00,-1.103126417420304595e+00
-9.530708851041051588e+00,-1.062855041083734742e+00
-9.282383967057020513e+00,-1.016010935358856893e+00
-8.974415071003042144e+00,-9.631600097399732885e-01
-8.613152998553832873e+00,-9.045157279462779920e-01
-8.478290907594509207e+00,-1.144209346228522106e+00
-8.363217242859260381e+00,-1.134827015344764378e+00
-8.211656042473371997e+00,-1.245777954477506277e+00
-8.197393808189426423e+00,-1.293719911014209245e+00
-8.123429437469750880e+00,-1.330248798525724752e+00
-7.983317022343157099e+00,-1.353300584532433959e+00
-7.770515825299892931e+00,-1.360825914845781970e+00
-7.479645688700608197e+00,-1.350641572991611472e+00
-7.107689595941999450e+00,-1.321229740083618154e+00
-6.654979693825523235e+00,-1.271963558061310451e+00
-6.125860872904722143e+00,-1.202526714447897493e+00
-5.528812892815829549e+00,-1.112748092964787494e+00
-4.876585045973798493e+00,-1.002325538992123954e+00
-4.186813958571838690e+00,-8.697198040717449841e-01
-3.483502125362464952e+00,-7.108006486495093146e-01
-2.890917042780635438e+00,-1.108462799457386350e+00
-2.841328765472137086e+00,-1.109098915899263904e+00
-2.743711297899904533e+00,-1.087386530113401140e+00
-2.610624600348057545e+00,-1.043473186093600402e+00
-2.462646256561258795e+00,-9.774120202790530509e-01
-2.337570052011641142e+00,-8.863410237880078313e-01
-1.401014980869023097e+00,-2.526117365417908101e-01
-1.393506687027624702e+00,-2.482672318416854207e-01
-1.375523206281556332e+00,-2.415402610816812512e-01
-1.349168116187993149e+00,-2.329086764323245462e-01
-1.316111349590284085e+00,-2.226382945225554855e-01
-1.277425938439647135e+00,-2.109413673184491189e-01
-1.233535236097696552e+00,-1.976792639746502711e-01
-1.184204576066240522e+00,-1.823081209803216196e-01
-1.128697037831266847e+00,-1.642093077460880512e-01
-1.104459653997894808e+00,-2.044949417703112449e-01
