TentRepDisp(cm), TentRepAcc(g)
6.589209538077530834e-03,-2.236903436942837102e-03
6.909592315865160407e-03,-2.110579518224335854e-03
7.410881958085496594e-03,-1.651476798668261763e-03
8.018301003625424861e-03,-9.573635350583848888e-04
8.641672270112201251e-03,-1.227730020474893601e-04
9.186873546474150568e-03,7.446131701916004850e-04
9.565820912541954379e-03,1.557938571640154080e-03
9.704159108081105226e-03,2.252806260903326713e-03
9.551389175815192673e-03,2.739129839116901700e-03
9.088470391495365175e-03,2.948730707455582065e-03
8.326027186748161807e-03,2.893808576739288155e-03
7.298214349836784458e-03,2.622390128052121908e-03
6.055825865104864404e-03,2.195157954238846024e-03
4.658274682507723523e-03,1.681497489901935538e-03
3.168009115793710834e-03,1.118515921083707834e-03
1.646647818641158983e-03,5.275048664712407142e-04
1.491913239413930397e-04,-5.077208803499461240e-05
-1.280687636542833172e-03,-5.805973184342984317e-04
-2.611080365710615435e-03,-1.046366982907101593e-03
-3.820342270086269764e-03,-1.440437251308895709e-03
-4.894887667674058078e-03,-1.767718629982609852e-03
-5.826352159461252282e-03,-2.036351231794285635e-03
-6.609925172117799182e-03,-2.238367753781160541e-03
-7.243509350701079694e-03,-2.361030038550377373e-03
-7.726146811727894678e-03,-2.395883157335381829e-03
-8.056828024222077722e-03,-2.338001658650955966e-03
-8.235210979914909385e-03,-2.191309619701456608e-03
-8.263165980214070769e-03,-1.964546269149503206e-03
-8.145868818625780564e-03,-1.668867808040570312e-03
-7.893184588971089918e-03,-1.315638200261296962e-03
-7.521348010156708556e-03,-9.097715980567422324e-04
-7.054114017294580048e-03,-4.564557306483540272e-04
-6.524178304185605792e-03,3.512660785513321404e-05
-5.973698128427242307e-03,5.524126942608943887e-04
-5.451411977110852056e-03,1.070407364182208478e-03
-5.008327928366545882e-03,1.558805268628450126e-03
-4.694041948464340412e-03,1.996342895171380073e-03
-4.552816138157865684e-03,2.361115318562577361e-03
-4.620343970264525688e-03,2.627216313225675358e-03
-4.921412343696470598e-03,2.772949289623201537e-03
-5.466399040137223664e-03,2.772494982478883752e-03
-6.248935930047810200e-03,2.610342560079454040e-03
-7.247443464473671444e-03,2.304193517290884993e-03
-8.428127814983709526e-03,1.885622197394919847e-03
-9.749015371243972827e-03,1.390516361229924289e-03
-1.116410116056234213e-02,8.564733965172567024e-04
-1.262404948657525061e-02,3.000986469540147189e-04
-1.407588863796407387e-02,-2.692718848315170475e-04
-1.546464187219237334e-02,-8.275124541113124382e-04
-1.673509011669479379e-02,-1.351979480766277598e-03
-1.783442875942901559e-02,-1.822755428189767185e-03
-1.871579594295313259e-02,-2.218118289646418655e-03
-1.933912345860803322e-02,-2.536053144680182683e-03
-1.967238669695035164e-02,-2.772734892326496337e-03
-1.969710797044448361e-02,-2.891585808928441928e-03
-1.941401401972453131e-02,-2.853910251846788950e-03
-1.884787025708357933e-02,-2.629455964898739194e-03
-1.805028565682647093e-02,-2.202485857237191508e-03
-1.709487636738784080e-02,-1.610302803092216730e-03
-1.606861380271702722e-02,-9.171067355889211525e-04
-1.506526878449939225e-02,-1.709059155727518143e-04
-1.417794698704069774e-02,5.737770854166631415e-04
-1.349049824277582382e-02,1.252075051353696965e-03
-1.307009461085656583e-02,1.806892703082949112e-03
-1.295823328461064364e-02,2.170267580717044793e-03
-1.316420131135446689e-02,2.292547751844886943e-03
-1.366773816097006239e-02,2.192040895793883216e-03
-1.442578711948618898e-02,1.917483667101079880e-03
-1.537963431949485905e-02,1.520600186905944704e-03
-1.646284062907763662e-02,1.059041767961888241e-03
-1.760585067693858780e-02,5.661337080685010983e-04
-1.873884856794998804e-02,6.264158444141237870e-05
-1.979747677229987471e-02,-4.095035243386160092e-04
-2.072766019637474130e-02,-8.144734465731085903e-04
-2.148697019811051170e-02,-1.140560078277595441e-03
-2.204489517527771086e-02,-1.383593257444654589e-03
-2.238071461409844518e-02,-1.557245387633063739e-03
-2.248131037167198226e-02,-1.675567521891544072e-03
-2.234388512198538096e-02,-1.717121556909945732e-03
-2.197970531108519796e-02,-1.653344195569873398e-03
-2.141605046794017864e-02,-1.467976057549744010e-03
-2.069701067835844066e-02,-1.153738983072607549e-03
-1.988005693444758540e-02,-7.361116575150925163e-04
-1.903019701937015001e-02,-2.587508764308845462e-04
-1.821637500132518989e-02,2.501853903138653119e-04
-1.750722527219513922e-02,7.579305049079429046e-04
-1.696423380270429063e-02,1.215662806119793696e-03
-1.663522215974601315e-02,1.577538857053210810e-03
-1.654741376585770751e-02,1.793131941187141136e-03
-1.670242724905161846e-02,1.825635738561916634e-03
-1.707860551465206767e-02,1.689992070851426692e-03
-1.763687295508210851e-02,1.425539818249944336e-03
-1.832605507936696521e-02,1.069866989317371344e-03
-1.908899271430659558e-02,6.658025314334633767e-04
-1.986781819332734955e-02,2.462192171507403640e-04
-2.060811237989411404e-02,-1.642581018720815696e-04
-2.126474312805535366e-02,-5.278482936750970769e-04
-2.180652385637857349e-02,-8.135157548973946011e-04
-2.221618046037907718e-02,-1.017509752418570800e-03
-2.248827546130174534e-02,-1.147247524388066934e-03
-2.262628672810326411e-02,-1.218353212512936212e-03
-2.263924723958214008e-02,-1.248591668828596957e-03
-2.254059271480145926e-02,-1.237255778966245712e-03
-2.234792164670407200e-02,-1.177788480870774765e-03
-2.208153603018952332e-02,-1.071979845026475040e-03
-2.176303718558254482e-02,-9.236072105578366914e-04
-2.141433516303688223e-02,-7.425174961924758260e-04
-2.105672221093328814e-02,-5.426225703802458385e-04
-2.071076692345060269e-02,-3.308709273810945335e-04
-2.039626031281111668e-02,-1.150796326442887632e-04
-2.013115499105829279e-02,8.930085752081922063e-05
-1.993028662079505270e-02,2.664945108544950316e-04
-1.980409790273984089e-02,3.991797091435286696e-04
-1.975769045238095004e-02,4.743009812751577373e-04
-1.979107241842332707e-02,4.951883288040297149e-04
-1.989992336870744644e-02,4.724869393464893618e-04
